Vext Jext
-0.075 -168.216054316
-0.05 -167.126672446
-0.025 -165.98180378
0.0 -164.777733816
0.025 -163.510445894
0.05 -162.175610399
0.075 -160.768548252
0.1 -159.28420352
0.125 -157.717111837
0.15 -156.061366363
0.175 -154.310581373
0.2 -152.457853455
0.225 -150.495720332
0.25 -148.416117392
0.275 -146.210332056
0.3 -143.868956182
0.325 -141.381833866
0.35 -138.738023111
0.375 -135.925723293
0.4 -132.932244133
0.425 -129.743942778
0.45 -126.346173089
0.475 -122.723204212
0.5 -118.858269727
0.525 -114.733410015
0.55 -110.329478754
0.575 -105.626120739
0.6 -100.601647731
0.625 -95.2336283317
0.65 -89.4969758157
0.675 -83.3661057308
0.7 -76.8138926209
0.725 -69.8117377683
0.75 -62.3296708452
0.775 -54.3360516664
0.8 -45.7981357767
0.825 -36.6815266296
0.85 -26.9499453783
0.875 -16.5652326759
0.9 -5.48825877691
0.925 6.32182492646
0.95 18.9070644796
0.975 32.3098051509
1.0 46.5725591706
1.025 61.7360289642
1.05 77.8388990717
1.075 94.9170951957
1.1 113.003425617
