Vext Jext
-0.38 -219
-0.36 -219
-0.34 -220
-0.32 -220
-0.3 -221
-0.28 -221
-0.26 -222
-0.24 -222
-0.22 -222
-0.2 -222
-0.18 -220
-0.16 -219
-0.14 -219
-0.12 -219
-0.1 -220
-0.08 -220
-0.06 -221
-0.04 -222
-0.02 -222
0 -222
0.02 -222
0.04 -221
0.06 -219
0.08 -218
0.1 -218
0.12 -219
0.14 -220
0.16 -220
0.18 -221
0.2 -222
0.22 -222
0.24 -222
0.26 -222
0.28 -221
0.3 -219
0.32 -218
0.34 -218
0.36 -220
0.38 -219
0.4 -220
0.42 -220
0.44 -221
0.46 -222
0.48 -222
0.5 -221
0.52 -220
0.54 -219
0.56 -218
0.58 -219
0.6 -219
0.62 -219
0.64 -219
0.66 -220
0.68 -221
0.7 -221
0.72 -221
0.74 -220
0.76 -219
0.78 -218
0.8 -217
0.82 -217
0.84 -217
0.86 -217
0.88 -216
0.9 -215
0.92 -212
0.94 -208
0.96 -201
0.98 -188
1 -171
1.02 -148
1.04 -120
1.06E+00 -8.80E+01
1.08E+00 -5.03E+01
1.10E+00 -9.31E+00
1.12E+00 3.44E+01
1.14E+00 7.97E+01
1.16 125
1.18 171
1.2 219
1.22 265
1.24 311
1.26 356
1.28 398
1.3 437
1.32 471
1.34 500
1.36 522
1.38 538
1.4 545
1.42 549
1.44 548
1.46 546
1.48 540
1.5 532
