Vext Jext
-1.99982 -4.00845
-1.95937 -4.69854
-1.91882 -5.15373
-1.87869 -5.3198
-1.83831 -5.248
-1.79794 -5.10829
-1.75756 -4.91336
-1.71717 -4.65749
-1.67678 -4.36802
-1.63635 -4.08542
-1.59596 -3.80905
-1.55555 -3.50585
-1.51513 -3.22181
-1.47478 -3.02418
-1.43493 -2.74603
-1.39398 -2.47633
-1.35345 -2.18278
-1.31317 -2.20183
-1.27267 -2.05705
-0.98983 -1.39682
-0.94955 -1.6379
-0.9091 -1.49051
-0.8687 -1.28253
-0.82827 -1.12822
-0.78789 -1.1262
-0.74747 -1.03552
-0.70707 -0.85
-0.66667 -0.760937
-0.62626 -0.685916
-0.58586 -0.626649
-0.54544 -0.567784
-0.50505 -0.459748
-0.46466 -0.456196
-0.42424 -0.259674
-0.38384 -0.241944
-0.34343 -0.201225
-0.30294 -0.0746188
-0.26282 -0.0540804
-0.22237 -0.0289449
-0.18194 -0.009477
-0.14152 0.0075285
-0.10109 0.0251324
-0.06065 0.0409072
-0.02012 0.111518
0.0202 0.123785
0.06062 0.138684
0.10101 0.232064
0.14141 0.263805
0.18182 0.359463
0.22222 0.487016
0.26263 0.624354
0.30303 1.18289
0.34343 1.05767
0.38384 1.05431
0.42424 1.07862
0.46465 1.12535
0.50505 1.32759
0.54544 1.56557
0.58583 2.10863
0.62624 2.69804
0.66666 3.28957
0.70718 3.92833
0.74745 5.12706
0.78788 6.20311
0.82827 8.09858
0.86872 11.4847
0.9091 15.1571
0.94953 21.3947
0.98985 30.8118
1.03027 43.9562
1.07067 62.7685
1.11094 87.2044
1.15145 121
1.19175 155
1.23225 192
1.27262 230
1.3128 266
1.35314 301
1.39393 333
1.43433 363
1.47473 389
